Device: TFRT_CPU_0
NumPy Version: 1.26.4
JAX Version: 0.4.20
Average step time: 0.023095s
Total training time: 1.15s
Initial loss: 4.6209
Final loss: 3.8165
Loss decrease: 0.8044 (17.4%)

Step,Time(s),Loss
0,0.023632,4.6209
1,0.021949,4.6191
2,0.029003,4.7904
3,0.023072,4.4704
4,0.021427,4.4379
5,0.021583,4.6489
6,0.020787,4.6830
7,0.021541,4.5110
8,0.020993,4.5304
9,0.020687,4.4648
10,0.021907,4.5267
11,0.021057,4.4915
12,0.021551,4.4002
13,0.021502,4.5047
14,0.025465,4.4451
15,0.020216,4.2925
16,0.020718,4.3776
17,0.020097,4.5950
18,0.020136,4.3308
19,0.024159,4.5539
20,0.029370,4.3451
21,0.021646,4.3423
22,0.022555,4.1975
23,0.023899,4.5085
24,0.020533,4.3616
25,0.019960,4.2268
26,0.021234,4.2104
27,0.021633,3.9710
28,0.026081,3.8249
29,0.023292,4.2253
30,0.023094,4.1015
31,0.026412,4.0916
32,0.023630,4.2477
33,0.029461,4.0686
34,0.022969,4.3377
35,0.022684,3.9264
36,0.022393,4.1029
37,0.022554,3.9345
38,0.022682,4.2613
39,0.022859,3.8192
40,0.028189,3.9220
41,0.022730,3.7605
42,0.022844,3.9882
43,0.030406,3.9072
44,0.023337,4.0847
45,0.024187,3.6311
46,0.023070,3.9999
47,0.023659,3.9081
48,0.022317,3.5655
49,0.023571,3.8165
