Device: cuda
GPU: Tesla T4
PyTorch Version: 2.2.0+cu118
Average step time: 0.008129s
Total training time: 0.41s
Initial loss: 4.9787
Final loss: 3.4110
Loss decrease: 1.5677 (31.5%)

Step,Time(s),Loss
0,0.329626,4.9787
1,0.003017,4.4395
2,0.001721,4.5456
3,0.001602,4.5906
4,0.001545,2.9126
5,0.001528,0.6581
6,0.001505,5.3264
7,0.001472,2.5159
8,0.001519,7.5071
9,0.001523,0.1061
10,0.001549,6.3183
11,0.001512,6.5917
12,0.001502,5.5692
13,0.001686,0.9898
14,0.001534,6.0830
15,0.001502,1.0709
16,0.001503,5.1006
17,0.001492,5.0928
18,0.001505,3.9163
19,0.001511,1.5657
20,0.001519,3.3926
21,0.001536,2.0491
22,0.001540,3.0037
23,0.001512,2.5920
24,0.001517,2.6286
25,0.001509,1.9215
26,0.001536,1.6326
27,0.001740,2.6428
28,0.001551,3.0794
29,0.001516,1.0548
30,0.001522,3.2883
31,0.001539,1.7071
32,0.001526,1.3236
33,0.001461,1.6199
34,0.001506,1.2249
35,0.001545,1.0616
36,0.001533,1.8845
37,0.001708,3.5801
38,0.001518,3.6825
39,0.001547,4.4027
40,0.001568,2.8295
41,0.001527,2.4811
42,0.001496,2.0476
43,0.001520,2.2895
44,0.001505,1.5050
45,0.001510,1.5586
46,0.001496,1.4705
47,0.001498,0.9564
48,0.001511,2.5568
49,0.001577,3.4110
